comment_id,parent_id,author,text,likes,is_reply,video_id,video_title,reply_count,is_spam
Ugx43qhvw5hydOoGf4F4AaABAg.ACJUiNQw6OhACJw_37Grc1,Ugx43qhvw5hydOoGf4F4AaABAg,@김씨-e6o,우승하면 구독 해줄게 ㅇㅇ,2,True,DkM-TqiZXco,장원영 닮은 리신장인 키우기ㄷㄷ 【 MKSI 김민교팀 】,8.0,1
Ugxuwn1s4552nO93Cc14AaABAg.ACJMqi1pOcRACJO_EgZKM6,Ugxuwn1s4552nO93Cc14AaABAg,@Dean_Wc,령진이 유튜브 2개임. 외국인 대상으로 만든 샤코타임 채널 있는데 영어자막으로 올라와있음ㅋㅋ,0,True,HufrKxMPTTw,샤코 박스에 악의가 터지는 정신나간 버그,2.0,1
UgzLmZCQpPPBEq_Fat54AaABAg.ACJLdnY9gQwACJOZE6qcFc,UgzLmZCQpPPBEq_Fat54AaABAg,@Dean_Wc,령진이 유튜브 2개임. 외국인 대상으로 만든 샤코타임 채널 있는데 영어자막으로 올라와있음ㅋㅋ,12,True,HufrKxMPTTw,샤코 박스에 악의가 터지는 정신나간 버그,5.0,1
UgwDiOi7AIascUIykuJ4AaABAg.ACJKr0WPEXtACJOYNfdIXK,UgwDiOi7AIascUIykuJ4AaABAg,@Dean_Wc,령진이 유튜브 2개임. 외국인 대상으로 만든 샤코타임 채널 있는데 영어자막으로 올라와있음ㅋㅋ,1,True,HufrKxMPTTw,샤코 박스에 악의가 터지는 정신나간 버그,5.0,1
Ugy6bv4KszhPzsGMcOt4AaABAg.ACGL7Gz_sKxACG_TIck-on,Ugy6bv4KszhPzsGMcOt4AaABAg,@쿠민피-e4g,Ai한테 지배당하기까지 얼마 안남은 재원씨 ㅎㅎㅎ  &lt;프ㅅF클릭&gt;,0,True,DVdPE0QOCS8,AI가 직접하는 채팅 관리ㅋㅋㅋㅋㅋ,5.0,1
Ugy6bv4KszhPzsGMcOt4AaABAg.ACGL7Gz_sKxACIHgcDahp3,Ugy6bv4KszhPzsGMcOt4AaABAg,@dhdh-010-m3l,Ai한테 지배당하기까지 얼마 안남은 재원씨 ㅎㅎㅎ  &lt;프ㅅF클릭&gt;,0,True,DVdPE0QOCS8,AI가 직접하는 채팅 관리ㅋㅋㅋㅋㅋ,5.0,1
Ugztu-v8EN1921vvW5B4AaABAg.ACGK9ZkbJw5ACGNjU_blQC,Ugztu-v8EN1921vvW5B4AaABAg,@미스터똘마,구독!,2,True,gWjQLgEkAlA,로검사 이래 최초 빤쓰런?! 원격 하자마자 쏟아지는 증거들 (feat.기율)  [로검사TV],10.0,1
Ugztu-v8EN1921vvW5B4AaABAg.ACGK9ZkbJw5ACGMq7FRej3,Ugztu-v8EN1921vvW5B4AaABAg,@ByeonghakLee,이런 방식 컨텐츠 좋아합니다 일단 구독!,6,True,gWjQLgEkAlA,로검사 이래 최초 빤쓰런?! 원격 하자마자 쏟아지는 증거들 (feat.기율)  [로검사TV],10.0,1
Ugztu-v8EN1921vvW5B4AaABAg.ACGK9ZkbJw5ACGN8ags7SA,Ugztu-v8EN1921vvW5B4AaABAg,@kd7394,구독,2,True,gWjQLgEkAlA,로검사 이래 최초 빤쓰런?! 원격 하자마자 쏟아지는 증거들 (feat.기율)  [로검사TV],10.0,1
Ugztu-v8EN1921vvW5B4AaABAg.ACGK9ZkbJw5ACGNjU_blQC,Ugztu-v8EN1921vvW5B4AaABAg,@미스터똘마,구독!,2,True,gWjQLgEkAlA,로검사 이래 최초 빤쓰런?! 원격 하자마자 쏟아지는 증거들 (feat.기율)  [로검사TV],10.0,1
Ugwb0tjHMi1qgTfi74d4AaABAg.ACB-KVbcMfZACB2DJ3flys,Ugwb0tjHMi1qgTfi74d4AaABAg,@김병선-c8i,그냥 잊은 채널,43,True,0xeRHEQFghA,궁극의 스카이블럭 생존기,5.0,1
Ugwb0tjHMi1qgTfi74d4AaABAg.ACB-KVbcMfZACB4bUHoeJX,Ugwb0tjHMi1qgTfi74d4AaABAg,@djrcntxhyfhkyvbjfvh,잊어도 안돌아오는 채널,21,True,0xeRHEQFghA,궁극의 스카이블럭 생존기,5.0,1
UgyMMOTFTzh_K0Xi9vp4AaABAg.AC8Wj5WTpXGACDX03yZ306,UgyMMOTFTzh_K0Xi9vp4AaABAg,@김태훈-t2z,이거 게임 이름이 뭔가요?,0,True,5Xqmbl0r4Bo,기괴한 곳에서 탈출하기,3.0,1
